instance,file,ncls,degree,proof_size,time_s,communication_kb
C5315.blif_0.10_1.00_0_1_out_exact,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/C5315.blif_0.10_1.00_0_1_out_exact/C5315.blif_0.10_1.00_0_1_out_exact_renamed_prover_zkqrp.result,3,5551,16653,132.489,34831.9970703125
TOILET10.1.iv.20,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/TOILET10.1.iv.20/TOILET10.1.iv.20_renamed_prover_zkqrp.result,19,856,16264,44.1851,36168.5546875
c2_BMC_p1_k2,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c2_BMC_p1_k2/c2_BMC_p1_k2_renamed_prover_zkqrp.result,3,6416,19248,190.992,40963.4296875
c3_BMC_p1_k2,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c3_BMC_p1_k2/c3_BMC_p1_k2_renamed_prover_zkqrp.result,3,3493,10479,61.1221,22696.9765625
c3_BMC_p1_k4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c3_BMC_p1_k4/c3_BMC_p1_k4_renamed_prover_zkqrp.result,7,3850,26950,177.015,54628.7890625
c4_BMC_p1_k16,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c4_BMC_p1_k16/c4_BMC_p1_k16_renamed_prover_zkqrp.result,32,335,10720,26.9411,31651.625
c4_BMC_p1_k2,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c4_BMC_p1_k2/c4_BMC_p1_k2_renamed_prover_zkqrp.result,3,282,846,3.50155,3255.2421875
c4_BMC_p1_k32,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c4_BMC_p1_k32/c4_BMC_p1_k32_renamed_prover_zkqrp.result,31,546,16926,40.684,41241.2578125
c4_BMC_p1_k4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c4_BMC_p1_k4/c4_BMC_p1_k4_renamed_prover_zkqrp.result,7,305,2135,4.6142,5726.9921875
c4_BMC_p1_k64,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c4_BMC_p1_k64/c4_BMC_p1_k64_renamed_prover_zkqrp.result,31,1037,32147,80.1489,64379.8671875
c4_BMC_p1_k8,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c4_BMC_p1_k8/c4_BMC_p1_k8_renamed_prover_zkqrp.result,15,307,4605,9.59901,12046.1484375
c6_BMC_p1_k2,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c6_BMC_p1_k2/c6_BMC_p1_k2_renamed_prover_zkqrp.result,3,2283,6849,28.4452,15000.0390625
c6_BMC_p1_k4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c6_BMC_p1_k4/c6_BMC_p1_k4_renamed_prover_zkqrp.result,5,2464,12320,48.4249,24432.1875
c6_BMC_p1_k8,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c6_BMC_p1_k8/c6_BMC_p1_k8_renamed_prover_zkqrp.result,7,2826,19782,90.1923,38317.8515625
cmu.dme1.B-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/cmu.dme1.B-d3/cmu.dme1.B-d3_renamed_prover_zkqrp.result,431,116,49996,37.1698,90166.5390625
cube_c3_ser--opt-6_,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/cube_c3_ser--opt-6_/cube_c3_ser--opt-6__renamed_prover_zkqrp.result,53,179,9487,19.1139,27686.78125
eijk.S208.S-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S208.S-d4/eijk.S208.S-d4_renamed_prover_zkqrp.result,15,108,1620,3.53435,4689.6328125
eijk.S208c.S-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S208c.S-d3/eijk.S208c.S-d3_renamed_prover_zkqrp.result,7,55,385,2.85132,2355.9296875
eijk.S208c.S-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S208c.S-d4/eijk.S208c.S-d4_renamed_prover_zkqrp.result,15,111,1665,3.84002,4783.4296875
eijk.S208o.S-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S208o.S-d3/eijk.S208o.S-d3_renamed_prover_zkqrp.result,7,51,357,2.76581,2311.2421875
eijk.S420.S-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S420.S-d4/eijk.S420.S-d4_renamed_prover_zkqrp.result,15,114,1710,3.57608,4853.2265625
eijk.S510.S-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S510.S-d3/eijk.S510.S-d3_renamed_prover_zkqrp.result,3,76,228,2.31691,2024.4609375
eijk.S510.S-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S510.S-d4/eijk.S510.S-d4_renamed_prover_zkqrp.result,17,418,7106,10.5368,14073.546875
texas.ifetch1^1.E-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/texas.ifetch1^1.E-d3/texas.ifetch1^1.E-d3_renamed_prover_zkqrp.result,86,169,14534,13.4929,26744.5078125
texas.ifetch1^3.E-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/texas.ifetch1^3.E-d3/texas.ifetch1^3.E-d3_renamed_prover_zkqrp.result,86,171,14706,13.1501,27332.6015625
texas.parsesys^1.E-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/texas.parsesys^1.E-d3/texas.parsesys^1.E-d3_renamed_prover_zkqrp.result,7,145,1015,3.21498,3515.4296875
vis.arbiter.E-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/vis.arbiter.E-d4/vis.arbiter.E-d4_renamed_prover_zkqrp.result,151,314,47414,49.3149,81121.296875
vis.bakery.E-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/vis.bakery.E-d3/vis.bakery.E-d3_renamed_prover_zkqrp.result,7,294,2058,4.72571,5431.0703125
vis.bakery.E-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/vis.bakery.E-d4/vis.bakery.E-d4_renamed_prover_zkqrp.result,15,939,14085,27.6523,26352.8984375
vis.eisenberg.E-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/vis.eisenberg.E-d4/vis.eisenberg.E-d4_renamed_prover_zkqrp.result,15,761,11415,20.9378,21636.3046875
